"id","name_en","name_uz","name_ru","region_name"
1,Mirzo Ulugbek District,Mirzo Ulug‘bek tumani,Мирзо-Улугбекский район,Tashkent
835,Uchtepa District,Uchtepa tumani,Учтепинский район,Tashkent
852,Olmazor District,Olmazor tumani,Олмазорский район,Tashkent
923,Yashnobod District,Yashnobod tumani,Яшнабадский район,Tashkent
932,Yakkasaray District,Yakkasaroy tumani,Яккасарайский район,Tashkent
933,Shaykhantahur District,Shayxontohur tumani,Шайхантахурский район,Tashkent
934,Chilonzor District,Chilonzor tumani,Чиланзарский район,Tashkent
935,Sergeli District,Sirg‘ali tumani,Сергелийский район,Tashkent
936,Mirobod District,Mirobod tumani,Мирабадский район,Tashkent
937,Yunusabad District,Yunusobod tumani,Юнусабадский район,Tashkent
938,Bektemir District,Bektemir tumani,Бектемирский район,Tashkent
894,Zarbdor District,Zarbdor tumani,Зарбдорский район,Jizzakh region
895,Dustlik District,Do‘stlik tumani,Дустликский район,Jizzakh region
896,Forish District,Forish tumani,Фаришский район,Jizzakh region
898,Gallaorol District,G‘allaorol tumani,Галлааральский район,Jizzakh region
899,Bakhmal District,Baxmal tumani,Бахмальский район,Jizzakh region
900,Pakhtakor District,Paxtakor tumani,Пахтакорский район,Jizzakh region
901,Zafarobod District,Zafarobod tumani,Зафарабадский район,Jizzakh region
902,Arnasay District,Arnasoy tumani,Арнасайский район,Jizzakh region
903,Zaamin District,Zomin tumani,Зааминский район,Jizzakh region
904,Yangiyobod District,Yangiobod tumani,Янгиабадский район,Jizzakh region
905,Jizzakh City,Jizzax shahri,город Джизак,Jizzakh region
945,Sharaf-Rashidov district,Sharof-Rashidov tumani,Шараф-Рашидовский район,Jizzakh region
766,Tayloq District,Tayloq tumani,Тайлакский район,Samarkand region
767,Bulungur District,Bulung‘ur tumani,Булунгурский район,Samarkand region
768,Gazalkent District,G‘azalkent tumani,Газалкентский район,Samarkand region
775,Samarkand District,Samarqand tumani,Самаркандский район,Samarkand region
776,Kushrabot District,Qo‘shrabot tumani,Кушрабадский район,Samarkand region
777,Payarik District,Payariq tumani,Пайарыкский район,Samarkand region
778,Chelak district,Chelak tumani,Челакский район,Samarkand region
779,Samarkand City,Samarqand shahri,город Самарканд,Samarkand region
780,Bogishamol District,Bog‘ishamol tumani,Богишамолский район,Samarkand region
781,Temiryul City,Temiryo‘l shahri,город Темирйул,Samarkand region
782,Oktosh town,Oqtosh shahri,город Акташ,Samarkand region
783,Kattakurgan City,Kattaqo‘rg‘on shahri,город Каттакурган,Samarkand region
784,Urgut City,Urgut shahri,город Ургут,Samarkand region
785,Siyob District,Siyob tumani,Сиабский район,Samarkand region
802,Pastdargom district,Pastdarg‘om tumani,Пастдаргомский район,Samarkand region
906,Narpay District,Narpay tumani,Нарпайский район,Samarkand region
907,Nurobod District,Nurobod tumani,Нурабадский район,Samarkand region
908,Jomboy districJomboy District,Jomboy tumani,Джамбайский район,Samarkand region
909,Urgut District,Urgut tumani,Ургутский район,Samarkand region
910,Pakhtachi District,Paxtachi tumani,Пахтачинский район,Samarkand region
911,Kattaqurgon District,Kattaqo‘rg‘on tumani,Каттакурганский район,Samarkand region
912,Oqdaryo District,Oqdaryo tumani,Акдарьинский район,Samarkand region
913,Ishtixon District,Ishtixon tumani,Иштыханский район,Samarkand region
812,Nukus district,Nukus tumani,Нукусский туман,Republic of Karakalpakstan
813,Kungrad District,Qoʻngʻirot tumani,Кунградский район,Republic of Karakalpakstan
815,Muynak District,Mo‘ynoq tumani,Муйнакский район,Republic of Karakalpakstan
816,Turtkul District,Toʻrtkoʻl tumani,Турткульский район,Republic of Karakalpakstan
817,Ellikkala district,Ellikqala tumani,Элликкалинский район,Republic of Karakalpakstan
818,Kegeyli District,Kegeyli tumani,Кегейлийский район,Republic of Karakalpakstan
819,Amudarya District,Amudaryo tumani,Амударьинский район,Republic of Karakalpakstan
820,Beruniy District,Beruniy tumani,Берунийский район,Republic of Karakalpakstan
821,Kanlikul District,Kanlikoʻl tumani,Канлыкульский район,Republic of Karakalpakstan
822,Chimbay District,Chimboy tumani,Чимбайский район,Republic of Karakalpakstan
823,Shomanay District,Shomanay tumani,Шуманайский район,Republic of Karakalpakstan
824,Takhtakupir District,Taxtakoʻpir tumani,Тахтакупырский район,Republic of Karakalpakstan
825,Khojeyli District,Xoʻjayli tumani,Ходжейлийский район,Republic of Karakalpakstan
826,Bozatov District,Boʻzatov tumani,Бозатауский район,Republic of Karakalpakstan
827,Qaraozak District,Qoraoʻzak tumani,Караузякский район,Republic of Karakalpakstan
828,Nukus City,Nukus shahri,город Нукус,Republic of Karakalpakstan
829,Beruniy City,Beruniy shahri,город Беруний,Republic of Karakalpakstan
830,Kungrad City,Qoʻngʻirot shahri,город Кунград,Republic of Karakalpakstan
831,Takhia­tash City,Taxiatosh shahri,город Тахиаташ,Republic of Karakalpakstan
832,Turtkul City,To‘rtko‘l shahri,город Турткуль,Republic of Karakalpakstan
833,Khojeyli City,Xoʻjayli shahri,город Ходжейли,Republic of Karakalpakstan
834,Chimbay City,Chimboy shahri,город Чимбай,Republic of Karakalpakstan
729,Khazarasp District,Xazarasp tumani,Хазараспский район,Khorezm region
730,Yangiarik District,Yangiariq tumani,Янгиарыкский район,Khorezm region
803,Urgench District,Urganch tumani,Ургенчский район,Khorezm region
804,Shavat District,Shovot tumani,Шаватский район,Khorezm region
805,Bogot District,Bog‘ot tumani,Багатский район,Khorezm region
806,Yangibazar District,Yangibozor tumani,Янгибазарский район,Khorezm region
807,Kushkupir District,Qoʻshkoʻpir tumani,Кошкупырский район,Khorezm region
808,Khiva District,Xiva tumani,Хивинский район,Khorezm region
809,Urgench City,Urganch shahri,город Ургенч,Khorezm region
810,Khiva City,Xiva shahri,город Хива,Khorezm region
811,Pitnak City,Pitnak shahri,город Питнак,Khorezm region
856,Gurlan District,Gurlan tumani,Гурленский район,Khorezm region
716,Uchkuduk district,Uchquduq tumani,Учкудукский район,Navoi region
717,Konimekh district,Konimex tumani,Конимехский район,Navoi region
718,Tomdi district,Tomdi tumani,Тамдинский район,Navoi region
719,Navbakhor district,Navbahor tumani,Навбахорский район,Navoi region
720,Navoi District,Navoiy tumani,Навоийский район,Navoi region
721,Nurota District,Nurota tumani,Нуратинский район,Navoi region
722,Khatirchi District,Xatirchi tumani,Хатырчинский район,Navoi region
723,Kiziltepa District,Qiziltepa tumani,Кызылтепинский район,Navoi region
724,Karmana district,Karmana tumani,Карманинский район,Navoi region
725,Navoi City,Navoiy shahri,город Навои,Navoi region
726,Zarafshon town,Zarafshon shahri,Зарафшон город,Navoi region
728,Uchkuduk City,Uchquduq shahri,город Учкудук,Navoi region
705,Shofirkon District,Shofirkon tumani,Шафирканский район,Bukhara region
706,Korovulbozor district,Qorovulbozor tumani,Караулбазарский район,Bukhara region
707,Gazli City,Gazli shahri,город Газли,Bukhara region
708,Bukhara district,Buxoro tumani,Бухарский район,Bukhara region
709,Kogon district,Kogon tumani,Каганский район,Bukhara region
710,Gijduvon City,G‘ijduvon shahri,город Гиждуван,Bukhara region
711,Buxara city,Buxoro shahri,Бухоро город,Bukhara region
712,Gijduvon City,G‘ijduvon shahri,город Гиждуван,Bukhara region
713,Kogon City,Kogon shahri,город Каган,Bukhara region
714,F.xodjaev district,Fayzulla Xo‘jayev tumani,Файзуллы Ходжаева район,Bukhara region
715,Tukimachi district,To‘qimachi tumani,Тукимаский район,Bukhara region
917,Romitan District,Romiton tumani,Ромитанский район,Bukhara region
918,Vobkent District,Vobkent tumani,Вабкентский район,Bukhara region
919,Peshku District,Peshku tumani,Пешкунский район,Bukhara region
920,Olot District,Olot tumani,Олотский район,Bukhara region
921,Jondor District,Jondor tumani,Жондорский район,Bukhara region
922,Karakul District,Qorako‘l tumani,Каракульский район,Bukhara region
793,Shurchi District,Sho‘rchi tumani,Шурчинский район,Surkhandarya region
794,Oltinsoy District,Oltinsoy tumani,Алтынсайский район,Surkhandarya region
795,Kumkurgan District,Qumqo‘rg‘on tumani,Кумкурганский район,Surkhandarya region
796,Jarqurgan District,Jarqo‘rg‘on tumani,Джаркурганский район,Surkhandarya region
797,Kizirik District,Qiziriq tumani,Кизирикский район,Surkhandarya region
798,Angor District,Angor tumani,Ангорский район,Surkhandarya region
799,Sherabad District,Sherobod tumani,Шерабадский район,Surkhandarya region
800,Uzun District,Uzun tumani,Узунский район,Surkhandarya region
801,Denov District,Denov tumani,Денауский район,Surkhandarya region
876,Termiz district,Termiz tumani,Термизский туман,Surkhandarya region
877,Boysun District,Boysun tumani,Байсунский район,Surkhandarya region
878,Muzrabot District,Muzrabot tumani,Музрабадский район,Surkhandarya region
879,Sariosiyo district,Sariosiyo tumani,Сариасийский туман,Surkhandarya region
880,Shargun District,Sharg‘un tumani,Шаргуньский район,Surkhandarya region
914,Bandixon District,Bandixon tumani,Бандиханский район,Surkhandarya region
915,Termez,Termiz,Термез,Surkhandarya region
916,Denov,Denov,Денау,Surkhandarya region
771,Chirokchi district,Chiroqchi tumani,Чиракчинский район,Kashkadarya region
772,Koson District,Koson tumani,Касанский район,Kashkadarya region
773,Shazrisabz District,Shahrisabz tumani,Шахрисабзский район,Kashkadarya region
774,Dekhkonobod district,Dehqonobod tumani,Дехканабадский туман,Kashkadarya region
814,Kamashi District,Qamashi tumani,Камашинский район,Kashkadarya region
851,Mirishkor District,Mirishkor tumani,Миришкорский район,Kashkadarya region
866,Yakkabog District,Yakkabogʻ tumani,Яккабагский район,Kashkadarya region
867,Bahoriston District,Bahoriston tumani,Бахористанский район,Kashkadarya region
868,Guzor District,G‘uzor tumani,Гузарский район,Kashkadarya region
869,Qarshi District,Qarshi tumani,Каршинский район,Kashkadarya region
870,Nishon District,Nishon tumani,Нишанский район,Kashkadarya region
871,Kitob District,Kitob tumani,Китабский район,Kashkadarya region
872,Kasbi District,Kasbi tumani,Касбийский район,Kashkadarya region
873,Muborak District,Muborak tumani,Мубарекский район,Kashkadarya region
874,Qarshi City,Qarshi shahri,город Карши,Kashkadarya region
875,Shahrisabz town,Shahrisabz shahri,Шахрисабз город,Kashkadarya region
758,Andijan District,Andijon tumani,Андижанский район,Andijan region
759,Oltinkul District,Oltinko‘l tuman,Алтынкульский район,Andijan region
760,Asaka District,Asaka tumani,Асакинский район,Andijan region
761,Baliqchi District,Baliqchi tuman,Балыкчинский район,Andijan region
762,Boz District,Bo‘z tumani,Бозский район,Andijan region
763,Ulugnor District,Ulug‘nor tumani,Улугнорский район,Andijan region
764,Shakhrikhon district,Shaxrixon tumani,Шахриханский район,Andijan region
765,Kurgontepa District,Qo‘rg‘ontepa tumani,Кургантепинский район,Andijan region
769,Shahrixon City,Shahrixon shahri,город Шахрихан,Andijan region
770,Karasu City,Qorasuv shahri,город Карасу,Andijan region
857,Jalolquduq District,Jalolquduq tumani,Джалалкудукский район,Andijan region
858,Khojaobod District,Xo‘jaobod tumani,Ходжаабадский район,Andijan region
859,Marhamat District,Marhamat tumani,Мархаматский район,Andijan region
860,Izboskan District,Izboskan tumani,Избасканский район,Andijan region
861,Buloqboshi District,Buloqboshi tumani,Булокбашинский район,Andijan region
862,Pakhtabad District,Paxtaobod tumani,Пахтаабадский район,Andijan region
863,Andijan City,Andijon shahri,город Андижан,Andijan region
864,Asaka City,Asaka shahri,город Асака,Andijan region
865,Khanabad City,Xonobod shahri,город Ханабад,Andijan region
740,Davlatabad District,Davlatobod tumani,Давлатабадский район,Namangan region
741,Mingbulak District,Mingbuloq tumani,Мингбулакский район,Namangan region
742,Namangan District,Namangan tumani,Наманганский район,Namangan region
743,Norin District,Norin tumani,Нарынский район,Namangan region
744,Uychi District,Uychi tumani,Уйчинский район,Namangan region
745,Uchkurgan District,Uchqo‘rg‘on tumani,Учкурганский район,Namangan region
746,Chortoq District,Chortoq tumani,Чартакский район,Namangan region
747,Yangikurgan District,Yangiqo‘rg‘on tumani,Янгикурганский район,Namangan region
748,Kosonsoy District,Kosonsoy tumani,Касансайский район,Namangan region
749,Chust District,Chust tumani,Чустский район,Namangan region
750,Pop District,Pop tumani,Папский район,Namangan region
751,Turakurgan District,To‘raqo‘rg‘on tumani,Туракурганский район,Namangan region
752,Namangan City,Namangan shahri,город Наманган,Namangan region
753,Kosonsoy City,Kosonsoy shahri,город Касансай,Namangan region
754,Uchkurgan City,Uchqo‘rg‘on shahri,город Учкурган,Namangan region
755,Chortoq City,Chortoq shahri,город Чартак,Namangan region
756,Chust City,Chust shahri,город Чуст,Namangan region
757,Hakkulabad City,Haqqulobod shahri,город Хаккулабад,Namangan region
731,Uzbekiston district,O‘zbekiston tumani,Узбекистанский район,Fergana region
732,Besharik district,Beshariq tumani,Бешарыкский район,Fergana region
733,Sokh District,So‘x tumani,Сохский район,Fergana region
734,Kuvasoy City,Quvasoy shahri,город Кувасай,Fergana region
735,Kuva City,Quva shahri,город Кува,Fergana region
736,Kokand City,Qo‘qon shahri,город Коканд,Fergana region
737,Margilan City,Marg‘ilon shahri,город Маргилан,Fergana region
738,Fergana City,Farg‘ona shahri,город Фергана,Fergana region
739,Kirguli City,Qirguli shahri,город Киргули,Fergana region
786,Kirguli District,Qirguli tumani,Киргулинский район,Fergana region
787,Fergana District,Farg‘ona tumani,Ферганский район,Fergana region
788,Kuva District,Quva tumani,Кувинский район,Fergana region
789,Toshloq District,Toshloq tumani,Ташлакский район,Fergana region
790,O‘hunboboyev District,O‘hunboboyev tumani,Ахунбабаевский район,Fergana region
791,Yozyovon District,Yozyovon tumani,Язъяванский район,Fergana region
792,Oltiarik district,Oltiariq tumani,Алтыарыкский район,Fergana region
853,Kushtepa District,Qo‘shtepa tumani,Куштепинский район,Fergana region
924,Baghdad District,Bog‘dod tumani,Багдадский район,Fergana region
925,Buvayda District,Buvayda tumani,Бувайдинский район,Fergana region
926,Uchkuprik District,Uchko‘prik tumani,Учкуприкский район,Fergana region
927,Rishton District,Rishton tumani,Риштанский район,Fergana region
928,Dangara District,Dang‘ara tumani,Дангаринский район,Fergana region
929,Furqat District,Furqat tumani,Фуркатский район,Fergana region
727,Sardoba District,Sardoba tumani,Сардобинский район,Syrdarya region
855,Sayxunobod District,Sayxunobod tumani,Сайхунабадский район,Syrdarya region
881,Guliston District,Guliston tumani,Гулистанский район,Syrdarya region
882,Boyovut District,Boyovut tumani,Баяутский район,Syrdarya region
883,Mehnatobod District,Mehnatobod tumani,Мехнатободский район,Syrdarya region
884,Khovos District,Xovos tumani,Хавастский район,Syrdarya region
885,Mirzaobod District,Mirzaobod tumani,Мирзаабадский район,Syrdarya region
886,Oqoltin District,Oqoltin tumani,Акалтынский район,Syrdarya region
887,Sharof Rashidov District,Sharof Rashidov tumani,Шарафа Рашидовский район,Syrdarya region
888,Sirdaryo District,Sirdaryo tumani,Сырдарьинский район,Syrdarya region
889,Gulistan City,Guliston shahri,город Гулистан,Syrdarya region
890,Sirdaryo City,Sirdaryo shahri,город Сырдарья,Syrdarya region
891,Shirin City,Shirin shahri,город Ширин,Syrdarya region
892,Yangiyer City,Yangiyer shahri,город Янгиер,Syrdarya region
893,Baxt City,Baxt shahri,город Бахт,Syrdarya region
836,Quyi Chirchiq District,Quyi Chirchiq tumani,Куйичирчикский район,Tashkent region
837,Kibray District,Qibray tumani,Кибрайский район,Tashkent region
838,Tashkent District,Toshkent tumani,Ташкентский район,Tashkent region
839,Ohangaron District,Ohangaron tumani,Ахангаранский район,Tashkent region
840,Bekobod District,Bekobod tumani,Бекабадский район,Tashkent region
841,Bostanlik District,Bo‘stonliq tumani,Бостанлыкский район,Tashkent region
842,Buka District,Bo‘ka tumani,Букинский район,Tashkent region
843,Yuqorichirchiq District,Yuqori Chirchiq tumani,Юкоричирчикский район,Tashkent region
844,Chinoz district,Chinoz tumani,Чиназский район,Tashkent region
845,Angren City,Angren shahri,город Ангрен,Tashkent region
846,Bekabad City,Bekobod shahri,город Бекабад,Tashkent region
847,Almalyk City,Olmalik shahri,город Алмалык,Tashkent region
848,Ohangaron City,Ohangaron shahri,город Ахангаран,Tashkent region
849,Chirchiq City,Chirchiq shahri,город Чирчик,Tashkent region
850,Yangibod City,Yangiobod shahri,город Янгиобод,Tashkent region
854,Yangiyul City,Yangiyo‘l shahri,город Янгиюль,Tashkent region
939,Yangiyol District,Yangiyo‘l tumani,Янгиюльский район,Tashkent region
940,Zangiota District,Zangiota tumani,Зангиатинский район,Tashkent region
941,Piskent District,Piskent tumani,Пскентский район,Tashkent region
942,Parkent District,Parkent tumani,Паркентский район,Tashkent region
943,Urtachirchik District,O‘rtachirchiq tumani,Уртачирчикский район,Tashkent region
944,Oqqorgon District,Oqqo‘rg‘on tumani,Аккурганский район,Tashkent region
