 id  |                       name_uz                       | parent_id | category_id 
-----+-----------------------------------------------------+-----------+-------------
 135 | Klinik laboratoriya diagnostikasi shifokori         |       574 |           6
 136 | Umumiy amaliyot shifokori                           |       574 |           6
 137 | Ultratovush diagnostikasi shifokori                 |       574 |           6
 140 | Anesteziolog-reanimatolog                           |       574 |           6
 145 | Metodist shifokor/Tibbiy statistik                  |       574 |           6
 146 | Onkolog                                             |       574 |           6
 147 | Otorinolaringolog (LOR)                             |       574 |           6
 148 | Oftalmolog                                          |       574 |           6
 150 | Psixiatr                                            |       574 |           6
 151 | Rentgenolog                                         |       574 |           6
 153 | Travmatolog-ortoped                                 |       574 |           6
 154 | Fizioterapevt                                       |       574 |           6
 156 | Endokrinolog                                        |       574 |           6
 390 | Kardiolog                                           |       574 |           6
 394 | Urolog                                              |       574 |           6
 356 | O'qituvchi                                          |       575 |          21
 363 | Ta'lim muassasasi direktori/O'quv jarayoni mudiri   |       575 |           9
  17 | Grafik dizayner                                     |       576 |           7
  18 | Dizayner-sahifalo'vchi                              |       576 |           8
  20 | Moushn-dizayner                                     |       576 |           7
  21 | Taqdimot dizayneri                                  |       576 |           7
  22 | Interyer dizayneri                                  |       576 |           7
  23 | Veb-dizayner                                        |       576 |           7
  24 | UX/UI dizayneri                                     |       576 |           7
 103 | Mebel dizayneri                                     |       576 |           7
 104 | Kiyim dizayneri                                     |       576 |           7
 106 | Kommunikatsiya dizayneri                            |       576 |           7
 107 | Sanoat dizayneri                                    |       576 |           7
 302 | Yuriskonsult                                        |       583 |          22
 303 | Yurist                                              |       583 |          22
 304 | Notarius yordamchisi                                |       583 |          20
 502 | Sud ijrochisi                                       |       583 |          22
 200 | Haydovchi                                           |       584 |           5
 227 | Kuryer                                              |       584 |           5
 367 | Logistika menejeri                                  |       584 |          13
 368 | Transport logistikasi menejeri                      |       584 |          13
 371 | Logistika direktori                                 |       584 |           9
 378 | Yuklovchi                                           |       584 |          11
 472 | Ekspeditor                                          |       584 |           5
 584 | Transport va Yuk tashish                            |           |            
 431 | Tozalovchi                                          |       586 |          23
 586 | Tozalash                                            |           |            
 596 | Tozalash va xo'jalik                                |       586 |            
 587 | Boshqa                                              |           |            
